cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Governor,WY-G1,9/17/2022,_lite,Theresa A. Livingston,,,,Jared J. Baldes,Mark Gordon,,,,,0.008325,0,0,0,0.991625,0,0,0,0.00005,0,0.008325,0.991625,0.002,0.9536859,167396.3,203222.7,132702.5,31.36521,0,0,0,4.938787,63.69601,0,0,0,0,8.710485,0,39.54023,71.6356,0,0,0,0,0,0,1.811741,0,23.34248,55.52362,0,0,0,0,0,0,-49.87335,424412,-32.3308,-16.40429,-47.80642,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,WI-G1,9/17/2022,_lite,Tony Evers,,,,Joan Ellis Beglinger,Tim Michels,,,,,0.64505,0,0,0,0.354925,0,0,0,0.000025,0,0.64505,0.354925,0.0774125,2.627084,2352114,2745122,1963364,50.46394,0,0,0,1.5925,47.94356,0,0,0,0,3.239069,0,54.99137,52.43085,0,0,0,0,0,0,0.3457273,0,45.95875,43.36787,0,0,0,0,0,0,-3.823667,4351464,2.520378,11.40887,-6.298405,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,VT-G1,9/17/2022,_lite,Brenda Siegel,,,,,Phil Scott,,,,all others,0.00045,0,0,0,0.99955,0,0,0,0,0,0.00045,0.99955,0.0001625,0.0589689,219963.8,262327.9,178165.5,23.40809,0,0,0,0,69.17471,0,0,0,7.417197,0,12.18863,30.84828,76.59836,0,0,0,0,0,0,0,3.279524,15.80889,61.60487,0,0,0,0,0,0,27.77288,503792,-45.76662,-31.51507,-59.94016,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,TX-G1,9/17/2022,_lite,Beto O'Rourke,,,,,Greg Abbott,,,,all others,0.204325,0,0,0,0.795675,0,0,0,0,0,0.204325,0.795675,0.067725,0.7605654,7107775,8597859,5651901,45.61076,0,0,0,0,51.59239,0,0,0,2.796855,0,5.320564,50.46925,56.42603,0,0,0,0,0,0,0,0.7914683,40.76711,46.68602,0,0,0,0,0,0,-12.90963,1.85E+07,-5.981628,3.458038,-15.27303,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,TN-G1,9/17/2022,_lite,Jason Brantley Martin,,,,,Bill Lee,,,,all others,0.025075,0,0,0,0.974925,0,0,0,0,0,0.025075,0.974925,0.00565,0.2521063,1788899,2173198,1412717,31.85475,0,0,0,0,56.38162,0,0,0,11.76363,0,17.82557,40.1616,64.51218,0,0,0,0,0,0,0,6.318178,23.63221,48.05334,0,0,0,0,0,0,-29.21185,4750229,-24.52687,-9.113762,-39.67418,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,SD-G1,9/17/2022,_lite,Jamie Smith,,,,Tracey Quint,Kristi Noem,,,,,0.023425,0,0,0,0.976575,0,0,0,0,0,0.023425,0.976575,0.0053625,1.491018,287081.8,342253.3,232659.3,35.30324,0,0,0,3.900762,60.79599,0,0,0,0,7.09575,0,43.26112,68.67666,0,0,0,0,0,0,1.285599,0,27.33604,52.82536,0,0,0,0,0,0,-32.01005,647453,-25.49275,-9.978773,-41.03177,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,SC-G1,9/17/2022,_lite,Joe Cunningham,,,,Bruce Reeves,Henry McMaster,,,,,0.1379,0,0,0,0.8621,0,0,0,0,0,0.1379,0.8621,0.0544,2.737409,1586282,1904647,1273644,45.23821,0,0,0,1.942146,52.81964,0,0,0,0,3.844444,0,49.80393,57.33732,0,0,0,0,0,0,0.4741765,0,40.66827,48.19101,0,0,0,0,0,0,-18.29783,3897996,-7.581436,1.366499,-16.42091,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,RI-G1,9/17/2022,_lite,Daniel J. McKee,,,,,Ashley Kalus,,,,all others,0.928425,0,0,0,0.071575,0,0,0,0,0,0.928425,0.071575,0.012125,3.073344,314913.9,379494.9,251724.5,55.17103,0,0,0,0,39.96106,0,0,0,4.867908,0,8.62779,61.9475,46.78013,0,0,0,0,0,0,0,1.794594,48.32961,33.13324,0,0,0,0,0,0,23.66066,794970,15.20997,28.29715,2.058161,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,PA-G1,9/17/2022,_lite,Josh Shapiro,,,,,Douglas V. Mastriano,,,,all others,0.9395,0,0,0,0.0605,0,0,0,0,0,0.9395,0.0605,0.0128,0.2251405,4538137,5369724,3722365,53.6856,0,0,0,0,44.22337,0,0,0,2.091032,0,4.156917,57.6692,48.24538,0,0,0,0,0,0,0,0.5198681,49.63731,40.21844,0,0,0,0,0,0,-2.976064,9742133,9.462238,17.1493,1.703773,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,OR-G1,9/17/2022,_lite,Tina Kotek,,,,,Christine Drazan,,,,all others,0.670125,0,0,0,0.329875,0,0,0,0,0,0.670125,0.329875,0.063925,3.183878,1602638,1877514,1333543,46.72632,0,0,0,0,43.20234,0,0,0,10.07134,0,15.59872,52.48104,49.06707,0,0,0,0,0,0,0,5.090581,40.80664,37.25484,0,0,0,0,0,0,10.62213,3113975,3.523983,13.85001,-6.86372,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
